iso2c,iso3c,country,date,inflazione,crescita_pil,periodo
LT,LTU,Lithuania,2024,0.715735835228723,2.77263124530285,Post-guerra
LU,LUX,Luxembourg,2010,2.2736791162154,3.76041454320028,NA
LU,LUX,Luxembourg,2011,3.41068341068342,1.04429855323325,NA
LU,LUX,Luxembourg,2012,2.66284165508021,1.64990212764553,NA
LU,LUX,Luxembourg,2013,1.73403963519162,3.17178989968683,NA
LU,LUX,Luxembourg,2014,0.628543985440717,2.62308679154881,Pre-guerra
LU,LUX,Luxembourg,2015,0.474743161437779,2.26978423302835,Pre-guerra
LU,LUX,Luxembourg,2016,0.290833333333317,4.97819011520116,Pre-guerra
LU,LUX,Luxembourg,2017,1.73079959118887,1.31718713754285,Pre-guerra
LU,LUX,Luxembourg,2018,1.5281952430738,1.61129561338169,Pre-guerra
LU,LUX,Luxembourg,2019,1.74332075653848,2.74931929072659,Pre-guerra
LU,LUX,Luxembourg,2020,0.819957302127036,-0.510051634039826,Pre-guerra
LU,LUX,Luxembourg,2021,2.52692009066166,6.9297342584233,Pre-guerra
LU,LUX,Luxembourg,2022,6.33600807777919,-1.0974168968152,Post-guerra
LU,LUX,Luxembourg,2023,3.74140361983136,0.0994399943552651,Post-guerra
LU,LUX,Luxembourg,2024,2.05113269954859,0.35861253942069,Post-guerra
LV,LVA,Latvia,2010,-1.08463595015155,-3.66125859554762,NA
LV,LVA,Latvia,2011,4.37073559939223,3.03634482668815,NA
LV,LVA,Latvia,2012,2.25778924374585,7.30524057200897,NA
LV,LVA,Latvia,2013,-0.029454778257828,2.09609028156248,NA
LV,LVA,Latvia,2014,0.620490636732421,2.0949597710559,Pre-guerra
LV,LVA,Latvia,2015,0.174242243625186,3.78336712084972,Pre-guerra
LV,LVA,Latvia,2016,0.140633334505327,2.55168601974034,Pre-guerra
LV,LVA,Latvia,2017,2.93036312374665,3.39894872623931,Pre-guerra
LV,LVA,Latvia,2018,2.53445424186598,4.30971286294503,Pre-guerra
LV,LVA,Latvia,2019,2.81140920075624,0.675372771884227,Pre-guerra
LV,LVA,Latvia,2020,0.219064904841985,-3.46922750780554,Pre-guerra
LV,LVA,Latvia,2021,3.27582937431165,6.94254173062592,Pre-guerra
LV,LVA,Latvia,2022,17.3102830198815,1.90853419029801,Post-guerra
LV,LVA,Latvia,2023,8.9380462331663,-0.941606068823631,Post-guerra
LV,LVA,Latvia,2024,1.26579885828729,-0.0461080109713521,Post-guerra
MD,MDA,Moldova,2010,7.48385086350851,7.10000010705836,NA
MD,MDA,Moldova,2011,7.6872510335619,5.81816614684824,NA
MD,MDA,Moldova,2012,4.54633427355302,-0.589733954762579,NA
MD,MDA,Moldova,2013,4.59787897363127,9.0438656074181,NA
MD,MDA,Moldova,2014,5.08878554625869,4.99962585407656,Pre-guerra
MD,MDA,Moldova,2015,9.67624033101859,-0.338235622387202,Pre-guerra
MD,MDA,Moldova,2016,6.35930898037931,4.64601436259409,Pre-guerra
MD,MDA,Moldova,2017,6.57022997455611,4.17561205106279,Pre-guerra
MD,MDA,Moldova,2018,3.04505397337071,4.07559546585034,Pre-guerra
